names,region,eng_state,admin_date,voc_1,voc_2,voc_3,voc_4,voc_5,voc_6,voc_7,voc_8,cont_1_read_voc,cont_2_read_det,cont_3_read_mi,cont_4_list_det,cont_5_list_voc,cont_6_list_mi,cont_7_rl_ci,cont_8_rl_ci,empd_1_read_voc,empd_2_read_mi,empd_3_read_det,empd_4_list_voc,empd_5_list_det,empd_6_list_mi,empd_7_rl_ci,empd_8_rl_ci,ethc_1_read_mi,ethc_2_read_voc,ethc_3_read_det,ethc_4_list_voc,ethc_5_list_det,ethc_6_list_mi,ethc_7_rl_ci,ethc_8_rl_ci,tort_1_read_mi,tort_2_read_det,tort_3_read_voc,tort_4_list_det,tort_5_list_mi,tort_6_list_voc,tort_7_rl_ci,tort_8_rl_ci
Dragutin Dukić,Asia,ESL,1992-02-02T20:37:14Z,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1
Dalibor Stojnić,Asia,ESL,1931-07-23T21:07:41Z,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1
Juraj Pokos,Asia,ESL,2007-12-31T18:15:16Z,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0
Nataša Kujundžić,Asia,ESL,2011-07-26T18:32:32Z,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0
Katarina Špika,Asia,ESL,2003-02-25T15:07:38Z,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0
Dino Mužić,Asia,ESL,1932-07-29T17:36:13Z,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0
Elizabeta Pavin,Asia,ESL,1950-09-06T17:28:50Z,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0
Božo Šoštarić,Asia,ESL,1936-10-02T22:08:30Z,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0
Marin Tomičić,Asia,ESL,2004-07-11T23:51:06Z,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0
Anton Radošević,Asia,ESL,2015-01-24T11:05:28Z,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0
Anton Sošić,Asia,ESL,2007-06-16T15:47:35Z,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1
Josipa Bebić,Asia,ESL,1925-02-01T11:27:59Z,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1
Sanja Vukman,Asia,ESL,1923-03-12T11:11:20Z,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1
Ivan Škrtić,Asia,ESL,2017-03-02T10:35:56Z,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1
Rudolf Vugdelija,Asia,ESL,1982-09-23T10:19:11Z,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1
Božo Viljevac,Asia,ESL,1951-03-23T15:49:16Z,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1
Tomo Lucić,Asia,ESL,1921-04-28T11:18:13Z,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1
Jasna Kršanac,Asia,ESL,2013-11-26T15:00:02Z,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1
Juraj Sirotić,Asia,ESL,1991-05-20T10:51:16Z,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1
Terezija Rubinić,Asia,ESL,2018-05-02T14:06:24Z,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1
Jelena Jakupić,Asia,ESL,2008-07-12T08:47:40Z,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1
Joso Ferenac,Asia,ESL,1998-03-31T05:16:41Z,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jadranka Ozimec,Asia,ESL,1945-02-03T00:25:29Z,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Marija Pongrac,Asia,ESL,1955-03-05T05:21:41Z,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mia Šverko,Asia,ESL,1959-04-03T00:33:40Z,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Denis Vitasović,Asia,ESL,1983-08-29T21:26:06Z,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vesna Guberović,Asia,ESL,1986-08-19T11:25:52Z,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ivanka Sirotić,Asia,ESL,1995-02-22T08:47:31Z,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Matea Mimica,Asia,ESL,1988-12-02T02:43:13Z,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0
Saša Šinković,Asia,ESL,1930-09-19T17:30:46Z,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0
Lucija Kelečić,Asia,ESL,1935-07-15T19:25:10Z,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0
Božena Dretvić,Asia,ESL,1997-11-08T09:54:22Z,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0
Nikola Marinković,Asia,ESL,1930-12-08T11:56:47Z,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0
Gordana Peterlik,Asia,ESL,1981-12-17T17:12:33Z,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0
Romano Barešić,Asia,ESL,1928-07-25T14:27:57Z,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0
Zorka Eterović,Asia,ESL,1922-11-03T22:04:33Z,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0
Antonija Turk,Asia,ESL,1947-10-07T10:35:12Z,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
Vedran Tomičić,Asia,ESL,1967-02-10T08:12:03Z,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
Miroslav Mimica,Asia,ESL,1975-09-29T07:30:09Z,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
Igor Martić,Asia,ESL,1952-11-04T19:33:41Z,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
Anton Bjeliš,Asia,ESL,1983-08-20T07:17:49Z,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
Eva Mesarić,Asia,ESL,1935-05-03T03:48:23Z,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
Dragutin Botica,Asia,ESL,1953-05-03T10:21:30Z,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
Ema Šelendić,Asia,ESL,1941-06-17T22:30:28Z,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
Darko Jurišić,Asia,ESL,1980-04-03T05:03:21Z,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1
Pero Blažek,Asia,ESL,1995-05-19T00:05:34Z,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1
Dominik Horak,Asia,ESL,1978-09-20T23:07:25Z,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1
Antonio Majstorović,Asia,ESL,2014-09-30T14:04:37Z,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1
Janko Filipčić,Asia,ESL,1934-07-12T15:59:01Z,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1
Janja Matulić,Asia,ESL,1947-11-11T11:46:47Z,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1
Pero Mraović,Asia,ESL,1932-07-28T19:33:42Z,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1
Stjepan Bunić,Asia,ESL,2001-04-04T09:49:48Z,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1
Eva Madunić,Asia,ESL,2012-05-19T19:26:05Z,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1
Rozalija Načinović,Asia,ESL,2017-02-13T08:00:18Z,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1
Mara Damjanović,Asia,ESL,1930-06-24T16:55:09Z,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1
Karlo Karlović,Asia,ESL,1928-02-01T23:31:04Z,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1
Manda Bičak,Asia,ESL,1954-09-08T08:00:33Z,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1
Štefica Botica,Asia,ESL,2018-10-22T01:58:24Z,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0
Karla Šupraha,Asia,ESL,2017-06-10T07:58:57Z,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0
Marijan Perišić,Asia,ESL,2001-07-23T15:01:10Z,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0
Milena Maloča,Asia,ESL,1955-01-31T14:31:57Z,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0
Damir Grgurević,Asia,ESL,1926-09-13T22:45:03Z,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0
Mile Mraović,Asia,ESL,1952-11-05T10:19:52Z,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0
Stjepan Vidaković,Asia,ESL,1963-08-17T05:48:10Z,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0
Barbara Gelemanović,Asia,ESL,1996-07-14T03:27:09Z,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0
Eva Kraljić,Asia,ESL,2009-09-23T01:01:55Z,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0
Patrik Mikulec,Asia,ESL,1968-03-19T08:01:14Z,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1
Marijana Buzov,Asia,ESL,1930-10-04T22:59:09Z,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1
Zorka Derežić,Asia,ESL,2000-09-07T08:23:42Z,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1
Veronika Terzić,Asia,ESL,1928-04-01T13:30:40Z,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1
Suzana Oršulić,Asia,ESL,1996-03-14T18:06:11Z,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1
Veronika Ergotić,Asia,ESL,2003-01-22T13:51:17Z,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1
Danica Dretvić,Asia,ESL,1925-10-13T04:23:03Z,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
Mira Ercegović,Asia,ESL,1966-01-11T23:59:50Z,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
Božena Tepeš,Asia,ESL,1968-10-28T06:15:48Z,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
Lidija Topić,Asia,ESL,1979-11-14T13:21:24Z,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
Nika Gegić,Asia,ESL,1962-08-07T23:48:26Z,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
Martina Amanović,Asia,ESL,1957-02-19T00:30:33Z,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
Marina Stojanov,Asia,ESL,1955-12-07T16:10:44Z,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
Dejan Jakupić,Asia,ESL,1942-05-12T10:00:10Z,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
Hrvoje Stojanov,Asia,ESL,1968-06-10T05:32:52Z,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1
Terezija Lukšić,Asia,ESL,1930-06-04T23:14:04Z,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1
Danijel Sokić,Asia,ESL,1994-03-08T08:11:07Z,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Dino Miloslavić,Asia,ESL,1981-10-27T02:17:41Z,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Aldo Brajković,Asia,ESL,1947-01-03T07:45:16Z,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Milena Bogović,Asia,ESL,1958-08-16T04:58:20Z,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Lovre Vidaković,Asia,ESL,1976-12-06T16:44:44Z,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Paula Mateos Calleja,Central America,ESL,1974-12-01T15:13:27Z,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Lorenzo Adadia,Central America,ESL,1930-07-05T14:16:30Z,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Alba Sanabria Mora,Central America,ESL,1975-02-06T20:38:19Z,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1
Ana del Perez,Central America,ESL,1975-12-05T09:23:23Z,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1
Laura Serrano Jordá,Central America,ESL,1950-02-24T08:25:12Z,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1
Aitor Jove Arcos,Central America,ESL,1926-09-23T10:36:16Z,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1
Adrián Jordá Páez,Central America,ESL,1953-06-23T03:30:09Z,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1
Javier Lluch Pareja,Central America,ESL,1940-10-14T09:45:14Z,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1
Jaime Peña Pavón,Central America,ESL,1923-02-05T08:46:20Z,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1
Alicia Prat,Central America,ESL,1963-12-22T05:42:00Z,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1
Pilar de Samper,Central America,ESL,1975-07-19T03:14:34Z,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1
Jose Luis Salas-Segarra,Central America,ESL,1971-04-17T16:11:29Z,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1
María Torrens Vázquez,Central America,ESL,1951-07-29T11:24:21Z,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1
Sebastian Iborra Franco,Central America,ESL,1986-06-12T11:12:27Z,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1
Mercedes Niño Quero,Central America,ESL,2009-03-10T11:59:56Z,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
Raul Villaverde Atienza,Central America,ESL,1941-07-12T02:36:34Z,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
Margarita Bertrán Viana,Central America,ESL,1991-09-13T16:05:49Z,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
Alfredo Conesa-Cruz,Central America,ESL,1979-05-04T11:57:55Z,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
Andrés Tejera Pino,Central America,ESL,1984-05-19T09:58:22Z,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
Carolina Navarrete Ferrández,Central America,ESL,1996-11-19T22:02:23Z,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
Trinidad Salazar Carro,Central America,ESL,2014-10-10T10:38:43Z,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
Milagros Novoa-Mendoza,Central America,ESL,1935-07-24T23:25:58Z,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
Josefina Quero Murillo,Central America,ESL,1943-08-13T10:49:44Z,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
Amparo Pedraza Zurita,Central America,ESL,2013-01-23T22:50:27Z,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Martin Valls Rey,Central America,ESL,1981-11-27T17:34:13Z,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Antonio Castañeda-Rocha,Central America,ESL,2001-05-16T11:32:16Z,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Luisa Ferreras Villa,Central America,ESL,1938-04-25T16:06:34Z,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
David Daniel Caro Pi,Central America,ESL,1987-04-27T01:34:41Z,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ismael Huertas-Abad,Central America,ESL,1980-02-25T06:28:50Z,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Montserrat Nevado Ruiz,Central America,ESL,1979-04-06T16:09:17Z,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
Juan Lucena Lobato,Central America,ESL,1939-04-08T06:39:01Z,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
Samuel Gutierrez-Osuna,Central America,ESL,1977-12-28T21:53:56Z,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
Miguel Peiró Martorell,Central America,ESL,1943-02-23T02:38:36Z,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
